,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"Easter, Week 2, Wed",Acts 5:17-26,"Ps 34:2-3, 4-5, 6-7, 8-9",,John 3:16-21,269,,,,,,,
"Easter, Week 2, Thurs",Acts 5:27-33,"Ps 34:2+9, 17-18, 19-20",,John 3:31-36,270,,,,,,,
"Easter, Week 2, Fri",Acts 5:34-42,"Ps 27:1, 4, 13-14",,John 6:1-15,271,,,,,,,
"Easter, Week 2, Sat",Acts 6:1-7,"Ps 33:1-2, 4-5, 18-19",,John 6:16-21,272,,,,,,,
3rd Sunday of Easter – A,"Acts 2:14, 22-33 (diff)","Ps 16:1-2a+5, 7-8, 9-10, 11",1 Pet 1:17-21,cf. Luke 24:32,46,,,,,,,
"Easter, Week 3, Mon",Acts 6:8-15,"Ps 119:23-24, 26-27, 29-30",,John 6:22-29,273,,,,,,,
"Easter, Week 3, Tues",Acts 7:51—8:1a,"Ps 31:3cd-4, 6+7b+8a, 17+21ab",,John 6:30-35,274,,,,,,,
"Easter, Week 3, Wed",Acts 8:1b-8,"Ps 66:1-3a, 4-5, 6-7a",,John 6:35-40,275,,,,,,,
"Easter, Week 3, Thurs",Acts 8:26-40,"Ps 66:8-9, 16-17, 20",,John 6:44-51,276,,,,,,,
"Easter, Week 3, Fri",Acts 9:1-20,"Ps 117:1, 2",,John 6:52-59,277,,,,,,,
"Easter, Week 3, Sat",Acts 9:31-42,"Ps 116:12-13, 14-15, 16-17",,John 6:60-69,278,,,,,,,
4th Sunday of Easter – A,"Acts 2:14a, 36-41","Ps 23:1-3a, 3b-4, 5, 6",1 Pet 2:20b-25,John 10:14,49,,,,,,,
"Easter, Week 4, Mon",Acts 11:1-18,"Ps 42:2-3; 42:3, 4",,John 10:1-10,279,,,,,,,
"Easter, Week 4, Tues",Acts 11:19-26,"Ps 87:1b-3, 4-5, 6-7",,John 10:22-30,280,,,,,,,
"Easter, Week 4, Wed",Acts 12:24—13:5a,"Ps 67:2-3, 5, 6+8",,John 12:44-50,281,,,,,,,
"Easter, Week 4, Thurs",Acts 13:13-25,"Ps 89:2-3, 21-22, 25+27",,John 13:16-20,282,,,,,,,
"Easter, Week 4, Fri",Acts 13:26-33,"Ps 2:6-7, 8-9, 10-11ab",,John 14:1-6,283,,,,,,,
"Easter, Week 4, Sat",Acts 13:44-52,"Ps 98:1, 2-3ab, 3cd-4",,John 14:7-14,284,,,,,,,
5th Sunday of Easter – A,Acts 6:1-7,"Ps 33:1-2, 4-5, 18-19",1 Pet 2:4-9,John 14:6,52,,,,,,,
"Easter, Week 5, Mon",Acts 14:5-18,"Ps 115:1-2, 3-4, 15-16",,John 14:21-26,285,,,,,,,
"Easter, Week 5, Tues",Acts 14:19-28,"Ps 145:10-11, 12-13ab, 21",,John 14:27-31a,286,,,,,,,
"Easter, Week 5, Wed",Acts 15:1-6,"Ps 122:1-2, 3-4ab, 4cd-5",,John 15:1-8,287,,,,,,,
"Easter, Week 5, Thurs",Acts 15:7-21,"Ps 96:1-2a, 2b-3, 10",,John 15:9-11,288,,,,,,,
"Easter, Week 5, Fri",Acts 15:22-31,"Ps 57:8-9, 10+12",,John 15:12-17,289,,,,,,,
"Easter, Week 5, Sat",Acts 16:1-10,"Ps 100:1b-2, 3, 5",,John 15:18-21,290,,,,,,,
6th Sunday of Easter – A,"Acts 8:5-8, 14-17","Ps 66:1-3, 4-5, 6-7, 16+20",1 Pet 3:15-18,John 14:23,55,,,,,,,
"Easter, Week 6, Mon",Acts 16:11-15,"Ps 149:1b-2, 3-4, 5-6a+9b",,John 15:26—16:4a,291,,,,,,,
"Easter, Week 6, Tues",Acts 16:22-34,"Ps 138:1-2ab, 2cde-3, 7c-8",,John 16:5-11,292,,,,,,,
"Easter, Week 6, Wed","Acts 17:15, 22—18:1","Ps 148:1-2, 11-12, 13, 14",,John 16:12-15,293,,,,,,,
"Easter, Week 6, Thurs",Acts 18:1-8,"Ps 98:1, 2-3ab, 3cd-4",,John 16:16-20,294,,,,,,,
"Easter, Week 6, Fri",Acts 18:9-18,"Ps 47:2-3, 4-5, 6-7",,John 16:20-23,295,,,,,,,
"Easter, Week 6, Sat",Acts 18:23-28,"Ps 47:2-3, 8-9, 10",,John 16:23b-28,296,,,,,,,
Ascension of the Lord – A,Acts 1:1-11,"Ps 47:2-3, 6-7, 8-9",Eph 1:17-23,Matt 28:19a+20b,58,,,,,,,
7th Sunday of Easter – A,Acts 1:12-14,"Ps 27:1, 4, 7-8",1 Pet 4:13-16,cf. John 14:18,59,,,,,,,
"Easter, Week 7, Mon",Acts 19:1-8,"Ps 68:2-3ab, 4-5acd, 6-7ab",,John 16:29-33,297,,,,,,,
"Easter, Week 7, Tues",Acts 20:17-27,"Ps 68:10-11, 20-21",,John 17:1-11a,298,,,,,,,
"Easter, Week 7, Wed",Acts 20:28-38,"Ps 68:29-30, 33-35a, 35bc-36ab",,John 17:11b-19,299,,,,,,,
"Easter, Week 7, Thurs",Acts 22:30; 23:6-11,"Ps 16:1-2a+5, 7-8, 9-10, 11",,John 17:20-26,300,,,,,,,
"Easter, Week 7, Fri",Acts 25:13b-21,"Ps 103:1-2, 11-12, 19-20ab",,John 21:15-19,301,,,,,,,
"Easter, Week 7, Sat morn.","Acts 28:16-20, 30-31","Ps 11:4, 5+7",,John 21:20-25,302,,,,,,,
Pentecost Sunday: Vigil Mass,"Gen 11:1-9 or Exod 19:3-8a, 16-20b or Ezek 37:1-14 or Joel 3:1-5","Ps 104:1-2, 24+35, 27-28, 29b-30",Rom 8:22-27,John 7:37-39,62v,Ordinary Time Weekdays,,,,,,
"Pentecost Sunday:
Mass during the Day – A",Acts 2:1-11,"Ps 104:1+24, 29-30, 31+34","1 Cor 12:3b-7, 12-13",John 20:19-23,62d,,,,,,,
Sunday after Pentecost: Holy Trinity,"Exod 34:4b-6, 8-9","Dan 3:52, 53, 54, 55",2 Cor 13:11-13,John 3:16-18,164,,,,,,,
Sunday after Trinity Sun: Body & Blood of Christ,"Deut 8:2-3, 14b-16a","Ps 147:12-13, 14-15, 19-20",1 Cor 10:16-17,John 6:51-58,167,,,,,,,
Friday after 2nd Sun after Pentecost: Sacred Heart,Deut 7:6-11,"Ps 103:1-2, 3-4, 6-7, 8+10",1 John 4:7-16,Matt 11:25-30,170,,,,,,,
"Ord. Time, Week 9, Wed","Tob 3:1-11a, 16-17a","Ps 25:2-3, 4-5ab, 6+7bc, 8-9",,Mark 12:18-27,355,,,,,,,
"Ord. Time, Week 9, Thurs","Tob 6:10-11; 7:1bcde, 9-17; 8:4-9a","Ps 128:1-2, 3, 4-5",,Mark 12:28b-34,356,,,,,,,
"Ord. Time, Week 9, Fri",Tob 11:5-17,"Ps 146:1b-2, 6c-7, 8-9a, 9bc-10",,Mark 12:35-37,357,,,,,,,
"Ord. Time, Week 9, Sat","Tob 12:1, 5-15, 20","Tob 13:2, 6, 7, 10 [Vulg.]",,Mark 12:38-44,358,,,,,,,
10th Sunday in Ordinary Time,Hos 6:3-6,"Ps 50:1+8, 12-13, 14-15",Rom 4:18-25,Matt 9:9-13,88,,,,,,,
"Ord. Time, Week 10, Mon",2 Cor 1:1-7,"Ps 34:2-3, 4-5, 6-7, 8-9",,Matt 5:1-12,359,,,,,,,
"Ord. Time, Week 10, Tues",2 Cor 1:18-22,"Ps 119:129, 130, 131, 132, 133, 135",,Matt 5:13-16,360,,,,,,,
"Ord. Time, Week 10, Wed",2 Cor 3:4-11,"Ps 99:5, 6, 7, 8, 9",,Matt 5:17-19,361,,,,,,,
"Ord. Time, Week 10, Thurs","2 Cor 3:15—4:1, 3-6","Ps 85:9ab+10, 11-12, 13-14",,Matt 5:20-26,362,,,,,,,
"Ord. Time, Week 10, Fri",2 Cor 4:7-15,"Ps 116:10-11, 15-16, 17-18",,Matt 5:27-32,363,,,,,,,
"Ord. Time, Week 10, Sat",2 Cor 5:14-21,"Ps 103:1-2, 3-4, 9-10, 11-12",,Matt 5:33-37,364,,,,,,,
11th Sunday in Ordinary Time,Exod 19:2-6a,"Ps 100:1-2, 3, 5",Rom 5:6-11,Matt 9:36—10:8,91,,,,,,,
"Ord. Time, Week 11, Mon",2 Cor 6:1-10,"Ps 98:1, 2b-3ab, 3cd-4",,Matt 5:38-42,365,,,,,,,
"Ord. Time, Week 11, Tues",2 Cor 8:1-9,"Ps 146:2, 5-6ab, 6c-7, 8-9a",,Matt 5:43-48,366,,,,,,,
"Ord. Time, Week 11, Wed",2 Cor 9:6-11,"Ps 112:1bc-2, 3-4, 9",,"Matt 6:1-6, 16-18",367,,,,,,,
"Ord. Time, Week 11, Thurs",2 Cor 11:1-11,"Ps 111:1b-2, 3-4, 7-8",,Matt 6:7-15,368,,,,,,,
"Ord. Time, Week 11, Fri","2 Cor 11:18, 21-30","Ps 34:2-3, 4-5, 6-7",,Matt 6:19-23,369,,,,,,,
"Ord. Time, Week 11, Sat",2 Cor 12:1-10,"Ps 34:8-9, 10-11, 12-13",,Matt 6:24-34,370,,,,,,,
12th Sunday in Ordinary Time,Jer 20:10-13,"Ps 69:8-10, 14+17, 33-35",Rom 5:12-15,Matt 10:26-33,94,,,,,,,
"Ord. Time, Week 12, Mon",Gen 12:1-9,"Ps 33:12-13, 18-19, 20+22",,Matt 7:1-5,371,,,,,,,
"Ord. Time, Week 12, Tues","Gen 13:2, 5-18","Ps 15:2-3a, 3bc-4ab, 5",,"Matt 7:6, 12-14",372,,,,,,,
"Ord. Time, Week 12, Wed","Gen 15:1-12, 17-18","Ps 105:1-2, 3-4, 6-7, 8-9",,Matt 7:15-20,373,,,,,,,
"Ord. Time, Week 12, Thurs","Gen 16:1-12, 15-16 or 16:6b-12, 15-16","Ps 106:1b-2, 3-4a, 4b-5",,Matt 7:21-29,374,,,,,,,
"Ord. Time, Week 12, Fri","Gen 17:1, 9-10, 15-22","Ps 128:1-2, 3, 4-5",,Matt 8:1-4,375,,,,,,,
"Ord. Time, Week 12, Sat",Gen 18:1-15,"Luke 1:46-47, 48-49, 50+53, 54-55",,"Luke 1:46-47, 48-49, 50+53, 54-55",376,,,,,,,
13th Sunday in Ordinary Time,"2 Kgs 4:8-11, 14-16a","Ps 89:2-3, 16-17, 18-19","Rom 6:3-4, 8-11",Matt 10:37-42,97,,,,,,,
"Ord. Time, Week 13, Mon",Gen 18:16-33,"Ps 103:1b-2, 3-4, 8-9, 10-11",,Matt 8:18-22,377,,,,,,,
"Ord. Time, Week 13, Tues",Gen 19:15-29,"Ps 26:2-3, 9-10, 11-12",,Matt 8:23-27,378,,,,,,,
"Ord. Time, Week 13, Wed","Gen 21:5, 8-20a","Ps 34:7-8, 10-11, 12-13",,Matt 8:28-34,379,,,,,,,
"Ord. Time, Week 13, Thurs",Gen 22:1b-19,"Ps 115:1-2, 3-4, 5-6, 8-9",,Matt 9:1-8,380,,,,,,,
"Ord. Time, Week 13, Fri","Gen 23:1-4, 19; 24:1-8, 62-67","Ps 106:1b-2, 3-4a, 4b-5",,Matt 9:9-13,381,,,,,,,
"Ord. Time, Week 13, Sat","Gen 27:1-5, 15-29","Ps 135:1b-2, 3-4, 5-6",,Matt 9:14-17,382,,,,,,,
14th Sunday in Ordinary Time,Zech 9:9-10,"Ps 145:1-2, 8-9, 10-11, 13-14","Rom 8:9, 11-13",Matt 11:25-30,100,,,,,,,
"Ord. Time, Week 14, Mon",Gen 28:10-22a,"Ps 91:1-2, 3-4, 14-15ab",,Matt 9:18-26,383,,,,,,,
"Ord. Time, Week 14, Tues",Gen 32:23-33,"Ps 17:1b, 2-3, 6-7ab, 8b+15",,Matt 9:32-38,384,,,,,,,
"Ord. Time, Week 14, Wed","Gen 41:55-57; 42:5-7a, 17-24a","Ps 33:2-3, 10-11, 18-19",,Matt 10:1-7,385,,,,,,,
"Ord. Time, Week 14, Thurs","Gen 44:18-21, 23b-29; 45:1-5","Ps 105:16-17, 18-19, 20-21",,Matt 10:7-15,386,,,,,,,
"Ord. Time, Week 14, Fri","Gen 46:1-7, 28-30","Ps 37:3-4, 18-19, 27-28, 39-40",,Matt 10:16-23,387,,,,,,,
"Ord. Time, Week 14, Sat",Gen 49:29-32; 50:15-26a,"Ps 105:1-2, 3-4, 6-7",,Matt 10:24-33,388,,,,,,,
15th Sunday in Ordinary Time,Isa 55:10-11,"Ps 65:10, 11, 12-13, 14",Rom 8:18-23,Matt 13:1-23 or 13:1-9,103,,,,,,,
"Ord. Time, Week 15, Mon","Exod 1:8-14, 22","Ps 124:1b-3, 4-6, 7-8",,Matt 10:34—11:1,389,,,,,,,
"Ord. Time, Week 15, Tues",Exod 2:1-15a,"Ps 69:3, 14, 30-31, 33-34",,Matt 11:20-24,390,,,,,,,
"Ord. Time, Week 15, Wed","Exod 3:1-6, 9-12","Ps 103:1b-2, 3-4, 6-7",,Matt 11:25-27,391,,,,,,,
"Ord. Time, Week 15, Thurs",Exod 3:13-20,"Ps 105:1+5, 8-9, 24-25, 26-27",,Matt 11:28-30,392,,,,,,,
"Ord. Time, Week 15, Fri",Exod 11:10—12:14,"Ps 116:12-13, 15+16bc, 17-18",,Matt 12:1-8,393,,,,,,,
"Ord. Time, Week 15, Sat",Exod 12:37-42,"Ps 136:1+23-24, 10-12, 13-15",,Matt 12:14-21,394,,,,,,,
16th Sunday in Ordinary Time,"Wis 12:13, 16-19","Ps 86:5-6, 9-10, 15-16",Rom 8:26-27,Matt 13:24-43 or 13:24-30,106,,,,,,,
"Ord. Time, Week 16, Mon",Exod 14:5-18,"Exod 15:1bc-2, 3-4, 5-6",,Matt 12:38-42,395,,,,,,,
"Ord. Time, Week 16, Tues",Exod 14:21—15:1,"Exod 15:8-9, 10+12, 17",,Matt 12:46-50,396,,,,,,,
"Ord. Time, Week 16, Wed","Exod 16:1-5, 9-15","Ps 78:18-19, 23-24, 25-26, 27-28",,Matt 13:1-9,397,,,,,,,
"Ord. Time, Week 16, Thurs","Exod 19:1-2, 9-11, 16-20b","Dan 3:52, 53, 54, 55, 56",,Matt 13:10-17,398,,,,,,,
"Ord. Time, Week 16, Fri",Exod 20:1-17,"Ps 19:8, 9, 10, 11",,Matt 13:18-23,399,,,,,,,
"Ord. Time, Week 16, Sat",Exod 24:3-8,"Ps 50:1b-2, 5-6, 14-15",,Matt 13:24-30,400,,,,,,,
17th Sunday in Ordinary Time,"1 Kgs 3:5, 7-12","Ps 119:57+72, 76-77, 127-128, 129-130",Rom 8:28-30,Matt 13:44-52 or 13:44-46,109,,,,,,,
"Ord. Time, Week 17, Mon","Exod 32:15-24, 30-34","Ps 106:19-20, 21-22, 23",,Matt 13:31-35,401,,,,,,,
"Ord. Time, Week 17, Tues","Exod 33:7-11; 34:5b-9, 28","Ps 103:6-7, 8-9, 10-11, 12-13",,Matt 13:36-43,402,,,,,,,
"Ord. Time, Week 17, Wed",Exod 34:29-35,"Ps 99:5, 6, 7, 9",,Matt 13:44-46,403,,,,,,,
"Ord. Time, Week 17, Thurs","Exod 40:16-21, 34-38","Ps 84:3, 4, 5-6a+8a, 11",,Matt 13:47-53,404,,,,,,,
"Ord. Time, Week 17, Fri","Lev 23:1, 4-11, 15-16, 27, 34b-37","Ps 81:3-4, 5-6ab, 10-11ab",,Matt 13:54-58,405,,,,,,,
"Ord. Time, Week 17, Sat","Lev 25:1, 8-17","Ps 67:2-3, 5, 7-8",,Matt 14:1-12,406,,,,,,,
18th Sunday in Ordinary Time,Isa 55:1-3,"Ps 145:8-9, 15-16, 17-18","Rom 8:35, 37-39",Matt 14:13-21,112,,,,,,,
"Ord. Time, Week 18, Mon",Num 11:4b-15,"Ps 81:12-13, 14-15, 16-17",,Matt 14:13-21,407,,,,,,,
"Ord. Time, Week 18, Tues",Num 12:1-13,"Ps 51:3-4, 5-6ab, 6cd-7, 12-13",,Matt 14:22-36,408,,,,,,,
"Ord. Time, Week 18, Wed","Num 13:1-2, 25—14:1, 26a-29a, 34-35","Ps 106:6-7ab, 13-14, 21-22, 23",,Matt 15:21-28,409,,,,,,,
"Ord. Time, Week 18, Thurs",Num 20:1-13,"Ps 95:1-2, 6-7, 8-9",,Matt 16:13-23,410,,,,,,,
"Ord. Time, Week 18, Fri",Deut 4:32-40,"Ps 77:12-13, 14-15, 16+21",,Matt 16:24-28,411,,,,,,,
"Ord. Time, Week 18, Sat",Deut 6:4-13,"Ps 18:2-3a, 3bc-4, 47+51",,Matt 17:14-20,412,,,,,,,
19th Sunday in Ordinary Time,"1 Kgs 19:9a, 11-13a","Ps 85:9ab+10, 11-12, 13-14",Rom 9:1-5,Matt 14:22-33,115,,,,,,,
"Ord. Time, Week 19, Mon",Deut 10:12-22,"Ps 147:12-13, 14-15, 19-20",,Matt 17:22-27,413,,,,,,,
"Ord. Time, Week 19, Tues",Deut 31:1-8,"Deut 32:3-4ab, 7, 8, 9+12",,"Matt 18:1-5, 10, 12-14",414,,,,,,,
"Ord. Time, Week 19, Wed",Deut 34:1-12,"Ps 66:1-3a, 5+8, 16-17",,Matt 18:15-20,415,,,,,,,
"Ord. Time, Week 19, Thurs","Josh 3:7-10a, 11, 13-17","Ps 114:1-2, 3-4, 5-6",,Matt 18:21—19:1,416,,,,,,,
"Ord. Time, Week 19, Fri",Josh 24:1-13,"Ps 136:1-3, 16-18, 21-22+24",,Matt 19:3-12,417,,,,,,,
"Ord. Time, Week 19, Sat",Josh 24:14-29,"Ps 16:1-2a+5, 7-8, 11",,Matt 19:13-15,418,,,,,,,
20th Sunday in Ordinary Time,"Isa 56:1, 6-7","Ps 67:2-3, 5, 6+8","Rom 11:13-15, 29-32",Matt 15:21-28,118,,,,,,,
"Ord. Time, Week 20, Mon",Judg 2:11-19,"Ps 106:34-35, 36-37, 39-40, 43ab+44",,Matt 19:16-22,419,,,,,,,
"Ord. Time, Week 20, Tues",Judg 6:11-24a,"Ps 85:9, 11-12, 13-14",,Matt 19:23-30,420,,,,,,,
"Ord. Time, Week 20, Wed",Judg 9:6-15,"Ps 21:2-3, 4-5, 6-7",,Matt 20:1-16,421,,,,,,,
"Ord. Time, Week 20, Thurs",Judg 11:29-39a,"Ps 40:5, 7-8a, 8b-9, 10",,Matt 22:1-14,422,,,,,,,
"Ord. Time, Week 20, Fri","Ruth 1:1, 3-6, 14b-16, 22","Ps 146:5-6ab, 6c-7, 8-9a, 9bc-10",,Matt 22:34-40,423,,,,,,,
"Ord. Time, Week 20, Sat","Ruth 2:1-3, 8-11; 4:13-17","Ps 128:1b-2, 3, 4, 5",,Matt 23:1-12,424,,,,,,,
21st Sunday in Ordinary Time,Isa 22:19-23,"Ps 138:1-2a, 2b-3, 6+8",Rom 11:33-36,Matt 16:13-20,121,,,,,,,
"Ord. Time, Week 21, Mon","1 Thess 1:1-5, 8b-10","Ps 149:1b-2, 3-4, 5-6a+9b",,Matt 23:13-22,425,,,,,,,
"Ord. Time, Week 21, Tues",1 Thess 2:1-8,"Ps 139:1-3, 4-6",,Matt 23:23-26,426,,,,,,,
"Ord. Time, Week 21, Wed",1 Thess 2:9-13,"Ps 139:7-8, 9-10, 11-12ab",,Matt 23:27-32,427,,,,,,,
"Ord. Time, Week 21, Thurs",1 Thess 3:7-13,"Ps 90:3-4, 12-13, 14+17",,Matt 24:42-51,428,,,,,,,
"Ord. Time, Week 21, Fri",1 Thess 4:1-8,"Ps 97:1+2b, 5-6, 10, 11-12",,Matt 25:1-13,429,,,,,,,
"Ord. Time, Week 21, Sat",1 Thess 4:9-11,"Ps 98:1, 7-8, 9",,Matt 25:14-30,430,,,,,,,
22nd Sunday in Ordinary Time,Jer 20:7-9,"Ps 63:2, 3-4, 5-6, 8-9",Rom 12:1-2,Matt 16:21-27,124,,,,,,,
"Ord. Time, Week 22, Mon",1 Thess 4:13-18,"Ps 96:1+3, 4-5, 11-12, 13",,Luke 4:16-30,431,,,,,,,
"Ord. Time, Week 22, Tues","1 Thess 5:1-6, 9-11","Ps 27:1, 4, 13-14",,Luke 4:31-37,432,,,,,,,
"Ord. Time, Week 22, Wed",Col 1:1-8,"Ps 52:10, 11",,Luke 4:38-44,433,,,,,,,
"Ord. Time, Week 22, Thurs",Col 1:9-14,"Ps 98:2-3ab, 3cd-4, 5-6",,Luke 5:1-11,434,,,,,,,
"Ord. Time, Week 22, Fri",Col 1:15-20,"Ps 100:1b-2, 3, 4, 5",,Luke 5:33-39,435,,,,,,,
"Ord. Time, Week 22, Sat",Col 1:21-23,"Ps 54:3-4, 6+8",,Luke 6:1-5,436,,,,,,,
23rd Sunday in Ordinary Time,Ezek 33:7-9,"Ps 95:1-2, 6-7b, 7c-9",Rom 13:8-10,Matt 18:15-20,127,,,,,,,
"Ord. Time, Week 23, Mon",Col 1:24—2:3,"Ps 62:6-7, 9",,Luke 6:6-11,437,,,,,,,
"Ord. Time, Week 23, Tues",Col 2:6-15,"Ps 145:1b-2, 8-9, 10-11",,Luke 6:12-19,438,,,,,,,
"Ord. Time, Week 23, Wed",Col 3:1-11,"Ps 145:2-3, 10-11, 12-13ab",,Luke 6:20-26,439,,,,,,,
"Ord. Time, Week 23, Thurs",Col 3:12-17,"Ps 150:1b-2, 3-4, 5-6",,Luke 6:27-38,440,,,,,,,
"Ord. Time, Week 23, Fri","1 Tim 1:1-2, 12-14","Ps 16:1b-2a+5, 7-8, 11",,Luke 6:39-42,441,,,,,,,
"Ord. Time, Week 23, Sat",1 Tim 1:15-17,"Ps 113:1b-2, 3-4, 5a+6-7",,Luke 6:43-49,442,,,,,,,
24th Sunday in Ordinary Time,Sir 27:30—28:7,"Ps 103:1-2, 3-4, 9-10, 11-12",Rom 14:7-9,Matt 18:21-35,130,,,,,,,
"Ord. Time, Week 24, Mon",1 Tim 2:1-8,"Ps 28:2, 7, 8-9",,Luke 7:1-10,443,,,,,,,
"Ord. Time, Week 24, Tues",1 Tim 3:1-13,"Ps 101:1b-2ab, 2cd-3ab, 5, 6",,Luke 7:11-17,444,,,,,,,
"Ord. Time, Week 24, Wed",1 Tim 3:14-16,"Ps 111:1-2, 3-4, 5-6",,Luke 7:31-35,445,,,,,,,
"Ord. Time, Week 24, Thurs",1 Tim 4:12-16,"Ps 111:7-8, 9, 10",,Luke 7:36-50,446,,,,,,,
"Ord. Time, Week 24, Fri",1 Tim 6:2c-12,"Ps 49:6-7, 8-10, 17-18, 19-20",,Luke 8:1-3,447,,,,,,,
"Ord. Time, Week 24, Sat",1 Tim 6:13-16,"Ps 100:1b-2, 3, 4, 5",,Luke 8:4-15,448,,,,,,,
25th Sunday in Ordinary Time,Isa 55:6-9,"Ps 145:2-3, 8-9, 17-18","Phil 1:20c-24, 27a",Matt 20:1-16a,133,,,,,,,
"Ord. Time, Week 25, Mon",Ezra 1:1-6,"Ps 126:1b-2ab, 2cd-3, 4-5, 6",,Luke 8:16-18,449,,,,,,,
"Ord. Time, Week 25, Tues","Ezra 6:7-8, 12b, 14-20","Ps 122:1-2, 3-4ab, 4cd-5",,Luke 8:19-21,450,,,,,,,
"Ord. Time, Week 25, Wed",Ezra 9:5-9,"Tob 13:2, 3-4a, 6, 7, 10 [Vulg.]",,Luke 9:1-6,451,,,,,,,
"Ord. Time, Week 25, Thurs",Hag 1:1-8,"Ps 149:1b-2, 3-4, 5-6a+9b",,Luke 9:7-9,452,,,,,,,
"Ord. Time, Week 25, Fri",Hag 2:1-9,"Ps 43:1, 2, 3, 4",,Luke 9:18-22,453,,,,,,,
"Ord. Time, Week 25, Sat","Zech 2:5-9, 14-15a","Jer 31:10, 11-12ab, 13",,Luke 9:43b-45,454,,,,,,,
26th Sunday in Ordinary Time,Ezek 18:25-28,"Ps 25:4-5, 6-7, 8-9",Phil 2:1-11 or 2:1-5,Matt 21:28-32,136,,,,,,,
"Ord. Time, Week 26, Mon",Zech 8:1-8,"Ps 102:16-18, 19-21, 29+22-23",,Luke 9:46-50,455,,,,,,,
"Ord. Time, Week 26, Tues",Zech 8:20-23,"Ps 87:1b-3, 4-5, 6-7",,Luke 9:51-56,456,,,,,,,
"Ord. Time, Week 26, Wed",Neh 2:1-8,"Ps 137:1-2, 3, 4-5, 6",,Luke 9:57-62,457,,,,,,,
"Ord. Time, Week 26, Thurs","Neh 8:1-4a, 5-6, 7b-12","Ps 19:8, 9, 10, 11",,Luke 10:1-12,458,,,,,,,
"Ord. Time, Week 26, Fri",Bar 1:15-22,"Ps 79:1b-2, 3-5, 8, 9",,Luke 10:13-16,459,,,,,,,
"Ord. Time, Week 26, Sat","Bar 4:5-12, 27-29","Ps 69:33-35, 36-37",,Luke 10:17-24,460,,,,,,,
27th Sunday in Ordinary Time,Isa 5:1-7,"Ps 80:9+12, 13-14, 15-16, 19-20",Phil 4:6-9,Matt 21:33-43,139,,,,,,,
"Ord. Time, Week 27, Mon","Jonah 1:1—2:2, 11","Jonah 2:3, 4, 5, 8",,Luke 10:25-37,461,,,,,,,
"Ord. Time, Week 27, Tues",Jonah 3:1-10,"Ps 130:1b-2, 3-4ab, 7-8",,Luke 10:38-42,462,,,,,,,
"Ord. Time, Week 27, Wed",Jonah 4:1-11,"Ps 86:3-4, 5-6, 9-10",,Luke 11:1-4,463,,,,,,,
"Ord. Time, Week 27, Thurs",Mal 3:13-20b,"Ps 1:1-2, 3, 4+6",,Luke 11:5-13,464,,,,,,,
"Ord. Time, Week 27, Fri",Joel 1:13-15; 2:1-2,"Ps 9:2-3, 6+16, 8-9",,Luke 11:15-26,465,,,,,,,
"Ord. Time, Week 27, Sat",Joel 4:12-21,"Ps 97:1-2, 5-6, 11-12",,Luke 11:27-28,466,,,,,,,
28th Sunday in Ordinary Time,Isa 25:6-10a,"Ps 23:1-3a, 3b-4, 5, 6","Phil 4:12-14, 19-20",Matt 22:1-14 or 22:1-10,142,,,,,,,
"Ord. Time, Week 28, Mon",Rom 1:1-7,"Ps 98:1bcde, 2-3ab, 3cd-4",,Luke 11:29-32,467,,,,,,,
"Ord. Time, Week 28, Tues",Rom 1:16-25,"Ps 19:2-3, 4-5",,Luke 11:37-41,468,,,,,,,
"Ord. Time, Week 28, Wed",Rom 2:1-11,"Ps 62:2-3, 6-7, 9",,Luke 11:42-46,469,,,,,,,
"Ord. Time, Week 28, Thurs",Rom 3:21-30,"Ps 130:1b-2, 3-4, 5-6ab",,Luke 11:47-54,470,,,,,,,
"Ord. Time, Week 28, Fri",Rom 4:1-8,"Ps 32:1b-2, 5, 11",,Luke 12:1-7,471,,,,,,,
"Ord. Time, Week 28, Sat","Rom 4:13, 16-18","Ps 105:6-7, 8-9, 42-43",,Luke 12:8-12,472,,,,,,,
29th Sunday in Ordinary Time,"Isa 45:1, 4-6","Ps 96:1+3, 4-5, 7-8, 9-10",1 Thess 1:1-5b,Matt 22:15-21,145,,,,,,,
"Ord. Time, Week 29, Mon",Rom 4:20-25,"Luke 1:69-70, 71-72, 73-75",,"Luke 1:69-70, 71-72, 73-75",473,,,,,,,
"Ord. Time, Week 29, Tues","Rom 5:12, 15b, 17-19, 20b-21","Ps 40:7-8a, 8b-9, 10, 17",,Luke 12:35-38,474,,,,,,,
"Ord. Time, Week 29, Wed",Rom 6:12-18,"Ps 124:1b-3, 4-6, 7-8",,Luke 12:39-48,475,,,,,,,
"Ord. Time, Week 29, Thurs",Rom 6:19-23,"Ps 1:1-2, 3, 4+6",,Luke 12:49-53,476,,,,,,,
"Ord. Time, Week 29, Fri",Rom 7:18-25a,"Ps 119:66, 68, 76, 77, 93, 94",,Luke 12:54-59,477,,,,,,,
