,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"6th Day in Xmas Octave, Dec. 30",1 John 2:12-17,"Ps 96:7-8a, 8b-9, 10",,Luke 2:36-40,203,,,,,,,
"7th Day in Xmas Octave, Dec. 31",1 John 2:18-21,"Ps 96:1-2, 11-12, 13",,John 1:1-18,204,,,,,,,
"Jan. 1: Mary, Mother of God",Num 6:22-27,"Ps 67:2-3, 5, 6+8",Gal 4:4-7,Luke 2:16-21,18,,,,,,,
Jan. 2,1 John 2:22-28,"Ps 98:1, 2-3ab, 3cd-4",,John 1:19-28,205,,,,,,,
Jan. 3,1 John 2:29—3:6,"Ps 98:1, 3cd-4, 5-6",,John 1:29-34,206,,,,,,,
Jan. 4,1 John 3:7-10,"Ps 98:1, 7-8, 9",,John 1:35-42,207,,,,,,,
Jan. 5,1 John 3:11-21,"Ps 100:1b-2, 3, 4, 5",,John 1:43-51,208,,,,,,,
Jan. 6 (if Epiphany is Jan. 7 or 8),1 John 5:5-13,"Ps 147:12-13, 14-15, 19-20",,Mark 1:7-11,209,,,,,,,
Jan. 7 (if Epiphany is Jan. 8),1 John 5:14-21,"Ps 149:1-2, 3-4, 5+6a+9b",,John 2:1-11,210,,,,,,,
The Epiphany of the Lord,Isa 60:1-6,"Ps 72:1-2, 7-8, 10-11, 12-13","Eph 3:2-3a, 5-6",Matt 2:1-12,20,,,,,,,
"Mon after Epiphany, or Jan. 7",1 John 3:22—4:6,"Ps 2:7bc-8, 10-12a",,"Matt 4:12-17, 23-25",212,,,,,,,
"Tues after Epiphany, or Jan. 8",1 John 4:7-10,"Ps 72:1-2, 3-4, 7-8",,Mark 6:34-44,213,,,,,,,
"Wed after Epiphany, or Jan. 9",1 John 4:11-18,"Ps 72:1-2, 10, 12-13",,Mark 6:45-52,214,,,,,,,
"Thurs after Epiphany, or Jan. 10",1 John 4:19—5:4,"Ps 72:1-2, 14+15bc, 17",,Luke 4:14-22a,215,,,,,,,
"Fri after Epiphany, or Jan. 11",1 John 5:5-13,"Ps 147:12-13, 14-15, 19-20",,Luke 5:12-16,216,,,,,,,
"Sat after Epiphany, or Jan. 12",1 John 5:14-21,"Ps 149:1-2, 3-4, 5+6a+9b",,John 3:22-30,217,,,,,,,
Sunday after Epiphany: Baptism of the Lord,"Isa 42:1-4, 6-7","Ps 29:1-2, 3-4, 3b+9b-10",Acts 10:34-38,Matt 3:13-17,21,,,,,,,
